tail,head,cap,length,fft,alpha,beta,speedLimit,toll,type
1,547,49500,1.388332788,0,0.15,4,0,0,3
2,548,49500,1.388332788,0,0.15,4,0,0,3
3,549,49500,1.388332788,0,0.15,4,0,0,3
4,550,49500,1.388332788,0,0.15,4,0,0,3
5,551,49500,1.388332788,0,0.15,4,0,0,3
6,552,49500,1.388332788,0,0.15,4,0,0,3
7,553,49500,1.388332788,0,0.15,4,0,0,3
8,554,49500,1.388332788,0,0.15,4,0,0,3
9,555,49500,1.388332788,0,0.15,4,0,0,3
10,556,49500,1.388332788,0,0.15,4,0,0,3
11,557,49500,1.388332788,0,0.15,4,0,0,3
12,558,49500,1.388332788,0,0.15,4,0,0,3
13,559,49500,1.388332788,0,0.15,4,0,0,3
14,560,49500,1.388332788,0,0.15,4,0,0,3
15,561,49500,1.388332788,0,0.15,4,0,0,3
16,562,49500,1.388332788,0,0.15,4,0,0,3
17,563,49500,1.388332788,0,0.15,4,0,0,3
18,564,49500,1.388332788,0,0.15,4,0,0,3
19,565,49500,1.388332788,0,0.15,4,0,0,3
20,566,49500,1.388332788,0,0.15,4,0,0,3
21,567,49500,1.388332788,0,0.15,4,0,0,3
22,568,49500,1.388332788,0,0.15,4,0,0,3
23,569,49500,1.388332788,0,0.15,4,0,0,3
24,570,49500,1.388332788,0,0.15,4,0,0,3
25,571,49500,1.388332788,0,0.15,4,0,0,3
26,572,49500,1.388332788,0,0.15,4,0,0,3
27,573,49500,1.388332788,0,0.15,4,0,0,3
28,574,49500,1.388332788,0,0.15,4,0,0,3
29,575,49500,1.388332788,0,0.15,4,0,0,3
30,576,49500,1.388332788,0,0.15,4,0,0,3
31,577,49500,1.388332788,0,0.15,4,0,0,3
32,578,49500,1.388332788,0,0.15,4,0,0,3
33,579,49500,1.388332788,0,0.15,4,0,0,3
34,580,49500,1.388332788,0,0.15,4,0,0,3
35,581,49500,1.388332788,0,0.15,4,0,0,3
36,582,49500,1.388332788,0,0.15,4,0,0,3
37,583,49500,1.388332788,0,0.15,4,0,0,3
38,584,49500,1.388332788,0,0.15,4,0,0,3
39,585,49500,1.388332788,0,0.15,4,0,0,3
40,586,49500,1.388332788,0,0.15,4,0,0,3
41,587,49500,1.388332788,0,0.15,4,0,0,3
42,588,49500,1.388332788,0,0.15,4,0,0,3
43,589,49500,1.388332788,0,0.15,4,0,0,3
44,590,49500,1.388332788,0,0.15,4,0,0,3
45,591,49500,1.388332788,0,0.15,4,0,0,3
46,592,49500,1.388332788,0,0.15,4,0,0,3
47,593,49500,1.388332788,0,0.15,4,0,0,3
48,594,49500,1.388332788,0,0.15,4,0,0,3
49,595,49500,1.388332788,0,0.15,4,0,0,3
50,596,49500,1.388332788,0,0.15,4,0,0,3
51,597,49500,1.388332788,0,0.15,4,0,0,3
52,598,49500,1.388332788,0,0.15,4,0,0,3
53,599,49500,1.388332788,0,0.15,4,0,0,3
54,600,49500,1.388332788,0,0.15,4,0,0,3
55,601,49500,1.388332788,0,0.15,4,0,0,3
56,602,49500,1.388332788,0,0.15,4,0,0,3
57,603,49500,1.388332788,0,0.15,4,0,0,3
58,604,49500,1.388332788,0,0.15,4,0,0,3
59,605,49500,1.388332788,0,0.15,4,0,0,3
60,606,49500,1.388332788,0,0.15,4,0,0,3
61,607,49500,1.388332788,0,0.15,4,0,0,3
62,608,49500,1.388332788,0,0.15,4,0,0,3
63,609,49500,1.388332788,0,0.15,4,0,0,3
64,610,49500,1.388332788,0,0.15,4,0,0,3
65,611,49500,1.388332788,0,0.15,4,0,0,3
66,612,49500,1.388332788,0,0.15,4,0,0,3
67,613,49500,1.388332788,0,0.15,4,0,0,3
68,614,49500,1.388332788,0,0.15,4,0,0,3
69,615,49500,1.388332788,0,0.15,4,0,0,3
70,616,49500,1.388332788,0,0.15,4,0,0,3
71,617,49500,1.388332788,0,0.15,4,0,0,3
72,618,49500,1.388332788,0,0.15,4,0,0,3
73,619,49500,1.388332788,0,0.15,4,0,0,3
74,620,49500,1.388332788,0,0.15,4,0,0,3
75,621,49500,1.388332788,0,0.15,4,0,0,3
76,622,49500,1.388332788,0,0.15,4,0,0,3
77,623,49500,1.388332788,0,0.15,4,0,0,3
78,624,49500,1.388332788,0,0.15,4,0,0,3
79,625,49500,1.388332788,0,0.15,4,0,0,3
80,626,49500,1.388332788,0,0.15,4,0,0,3
81,627,49500,1.388332788,0,0.15,4,0,0,3
82,628,49500,1.388332788,0,0.15,4,0,0,3
83,629,49500,1.388332788,0,0.15,4,0,0,3
84,630,49500,1.388332788,0,0.15,4,0,0,3
85,631,49500,1.388332788,0,0.15,4,0,0,3
86,632,49500,1.388332788,0,0.15,4,0,0,3
87,633,49500,1.388332788,0,0.15,4,0,0,3
88,634,49500,1.388332788,0,0.15,4,0,0,3
89,635,49500,1.388332788,0,0.15,4,0,0,3
90,636,49500,1.388332788,0,0.15,4,0,0,3
91,637,49500,1.388332788,0,0.15,4,0,0,3
92,638,49500,1.388332788,0,0.15,4,0,0,3
93,639,49500,1.388332788,0,0.15,4,0,0,3
94,640,49500,1.388332788,0,0.15,4,0,0,3
95,641,49500,1.388332788,0,0.15,4,0,0,3
96,642,49500,1.388332788,0,0.15,4,0,0,3
97,643,49500,1.388332788,0,0.15,4,0,0,3
98,644,49500,1.388332788,0,0.15,4,0,0,3
99,645,49500,1.388332788,0,0.15,4,0,0,3
100,646,49500,1.388332788,0,0.15,4,0,0,3
101,647,49500,1.388332788,0,0.15,4,0,0,3
