tail,head,capacity,length,fft(min),alpha,beta,speedLimit,toll,link_type,
1,148,0.1,1,166.6666667,0.15,4,1,0,0,0
1,149,0.1,1,166.6666667,0.15,4,1,0,0,0
1,150,0.1,1,166.6666667,0.15,4,1,0,0,0
1,151,0.1,1,166.6666667,0.15,4,1,0,0,0
1,152,0.1,1,166.6666667,0.15,4,1,0,0,0
1,153,0.1,1,166.6666667,0.15,4,1,0,0,0
1,154,0.1,1,166.6666667,0.15,4,1,0,0,0
1,155,0.1,1,166.6666667,0.15,4,1,0,0,0
1,156,0.1,1,166.6666667,0.15,4,1,0,0,0
1,157,0.1,1,166.6666667,0.15,4,1,0,0,0
1,158,0.1,1,166.6666667,0.15,4,1,0,0,0
1,159,0.1,1,166.6666667,0.15,4,1,0,0,0
1,893,1.00E+05,0.42,0.42,0.15,4,1,0,0,0
1,934,1.00E+05,1.32,1.32,0.15,4,1,0,0,0
1,938,1.00E+05,0.42,0.42,0.15,4,1,0,0,0
2,909,1.00E+05,0.6,0.6,0.15,4,1,0,0,0
2,911,1.00E+05,2.04,2.04,0.15,4,1,0,0,0
2,923,1.00E+05,1.32,1.32,0.15,4,1,0,0,0
2,929,1.00E+05,1.5,1.5,0.15,4,1,0,0,0
3,902,1.00E+05,1.68,1.68,0.15,4,1,0,0,0
3,917,1.00E+05,0.54,0.54,0.15,4,1,0,0,0
3,919,1.00E+05,0.9,0.9,0.15,4,1,0,0,0
3,920,1.00E+05,0.6,0.6,0.15,4,1,0,0,0
3,932,1.00E+05,1.08,1.08,0.15,4,1,0,0,0
4,1009,1.00E+05,0.6,0.6,0.15,4,1,0,0,0
4,1010,1.00E+05,2.28,2.28,0.15,4,1,0,0,0
4,1029,1.00E+05,0.84,0.84,0.15,4,1,0,0,0
5,992,1.00E+05,0.42,0.42,0.15,4,1,0,0,0
5,1008,1.00E+05,1.62,1.62,0.15,4,1,0,0,0
5,1018,1.00E+05,0.66,0.66,0.15,4,1,0,0,0
6,970,1.00E+05,0.96,0.96,0.15,4,1,0,0,0
6,971,1.00E+05,0.78,0.78,0.15,4,1,0,0,0
6,972,1.00E+05,0.72,0.72,0.15,4,1,0,0,0
6,973,1.00E+05,0.9,0.9,0.15,4,1,0,0,0
6,974,1.00E+05,1.08,1.08,0.15,4,1,0,0,0
7,996,1.00E+05,0.54,0.54,0.15,4,1,0,0,0
7,1012,1.00E+05,0.78,0.78,0.15,4,1,0,0,0
8,840,1.00E+05,0.36,0.36,0.15,4,1,0,0,0
9,535,1.00E+05,1.04,1.04,0.15,4,1,0,0,0
9,839,1.00E+05,1.52,1.52,0.15,4,1,0,0,0
10,166,1.00E+05,1.56,1.56,0.15,4,1,0,0,0
10,200,1.00E+05,1.56,1.56,0.15,4,1,0,0,0
11,167,1.00E+05,1.88,1.88,0.15,4,1,0,0,0
11,199,1.00E+05,1.2,1.2,0.15,4,1,0,0,0
12,170,1.00E+05,0.84,0.84,0.15,4,1,0,0,0
13,169,1.00E+05,2.28,2.28,0.15,4,1,0,0,0
13,191,1.00E+05,2.28,2.28,0.15,4,1,0,0,0
13,197,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
14,171,1.00E+05,0.68,0.68,0.15,4,1,0,0,0
14,189,1.00E+05,0.24,0.24,0.15,4,1,0,0,0
15,195,1.00E+05,1.88,1.88,0.15,4,1,0,0,0
15,224,1.00E+05,1.32,1.32,0.15,4,1,0,0,0
16,173,1.00E+05,2.44,2.44,0.15,4,1,0,0,0
16,187,1.00E+05,2.44,2.44,0.15,4,1,0,0,0
17,174,1.00E+05,1.68,1.68,0.15,4,1,0,0,0
17,186,1.00E+05,2.44,2.44,0.15,4,1,0,0,0
18,190,1.00E+05,1.88,1.88,0.15,4,1,0,0,0
18,220,1.00E+05,1.28,1.28,0.15,4,1,0,0,0
19,177,1.00E+05,2.16,2.16,0.15,4,1,0,0,0
19,183,1.00E+05,2.52,2.52,0.15,4,1,0,0,0
20,182,1.00E+05,0.76,0.76,0.15,4,1,0,0,0
20,213,1.00E+05,3.76,3.76,0.15,4,1,0,0,0
21,262,1.00E+05,0.68,0.68,0.15,4,1,0,0,0
22,278,1.00E+05,0.56,0.56,0.15,4,1,0,0,0
23,266,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
23,277,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
24,212,1.00E+05,0.8,0.8,0.15,4,1,0,0,0
24,354,1.00E+05,2.64,2.64,0.15,4,1,0,0,0
25,260,1.00E+05,0.52,0.52,0.15,4,1,0,0,0
26,285,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
27,225,1.00E+05,1.48,1.48,0.15,4,1,0,0,0
27,238,1.00E+05,1.88,1.88,0.15,4,1,0,0,0
28,230,1.00E+05,0.52,0.52,0.15,4,1,0,0,0
29,240,1.00E+05,1.04,1.04,0.15,4,1,0,0,0
29,245,1.00E+05,3.92,3.92,0.15,4,1,0,0,0
30,237,1.00E+05,3.8,3.8,0.15,4,1,0,0,0
30,239,1.00E+05,1.64,1.64,0.15,4,1,0,0,0
31,243,1.00E+05,0.52,0.52,0.15,4,1,0,0,0
32,273,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
32,274,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
32,294,1.00E+05,0.96,0.96,0.15,4,1,0,0,0
32,295,1.00E+05,1.2,1.2,0.15,4,1,0,0,0
